date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:06	108716/108716	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Oct%202018%2005:06:16%20GMT	http://www.karomahaqiqah.com/	C:/Users/acs/Downloads/LPBlog/www.karomahaqiqah.com/index.html	(from )
14:25:07	126/126	---M-Z	200	added ('OK')	text/plain	date:Thu,%2018%20Oct%202018%2005:06:16%20GMT	http://www.karomahaqiqah.com/robots.txt		(from )
14:25:08	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Thu,%2018%20Oct%202018%2005:06:16%20GMT	http://www.karomahaqiqah.com/favicon.ico	C:/Users/acs/Downloads/LPBlog/www.karomahaqiqah.com/favicon.ico	(from http://www.karomahaqiqah.com/)
14:25:08	1679/1679	---M-Z	200	added ('OK')	application/atom+xml	date:Thu,%2018%20Oct%202018%2005:06:16%20GMT	http://www.karomahaqiqah.com/feeds/posts/default	C:/Users/acs/Downloads/LPBlog/www.karomahaqiqah.com/feeds/posts/default	(from http://www.karomahaqiqah.com/)
14:25:09	1048/1048	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2018%20Oct%202018%2005:06:16%20GMT	http://www.karomahaqiqah.com/feeds/posts/default?alt=rss	C:/Users/acs/Downloads/LPBlog/www.karomahaqiqah.com/feeds/posts/default9522	(from http://www.karomahaqiqah.com/)
14:25:09	39463/39463	---MC-	200	added ('OK')	text/css	date:Thu,%2018%20Oct%202018%2015:22:03%20GMT	https://www.blogger.com/static/v1/widgets/2727757643-css_bundle_v2.css	C:/Users/acs/Downloads/LPBlog/www.blogger.com/static/v1/widgets/2727757643-css_bundle_v2.css	(from http://www.karomahaqiqah.com/)
14:25:11	95786/95786	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/Users/acs/Downloads/LPBlog/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from http://www.karomahaqiqah.com/)
14:25:11	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/acs/Downloads/LPBlog/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.karomahaqiqah.com/)
14:25:12	1/1	---MC-	200	added ('OK')	text/css	date:Thu,%2025%20Oct%202018%2007:25:14%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=5478379328813015132&zx=9facae0a-1cb6-47cb-b060-d46a355b37fb	C:/Users/acs/Downloads/LPBlog/www.blogger.com/dyn-css/authorizationf3a2.css	(from http://www.karomahaqiqah.com/)
14:25:13	47/47	---M-Z	200	added ('OK')	text/javascript	etag:13036835877489095579	http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	C:/Users/acs/Downloads/LPBlog/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://www.karomahaqiqah.com/)
14:25:13	43889/43889	---MC-	200	added ('OK')	application/javascript	date:Thu,%2025%20Oct%202018%2007:25:16%20GMT	https://apis.google.com/js/plusone.js	C:/Users/acs/Downloads/LPBlog/apis.google.com/js/plusone.js	(from http://www.karomahaqiqah.com/)
14:25:15	35992/35992	---M--	200	added ('OK')	image/png	etag:%22v5a9%22	http://3.bp.blogspot.com/-tN4ujimnWKw/WrmStRyK74I/AAAAAAAABag/iOCBvNpFDYkJZ-lq5BV1an2amZ-9DrXbgCK4BGAYYCw/s1600/karomah-aqiqah-logo.png	C:/Users/acs/Downloads/LPBlog/3.bp.blogspot.com/-tN4ujimnWKw/WrmStRyK74I/AAAAAAAABag/iOCBvNpFDYkJZ-lq5BV1an2amZ-9DrXbgCK4BGAYYCw/s1600/karomah-aqiqah-logo.png	(from http://www.karomahaqiqah.com/)
14:25:15	475/475	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Oct%202018%2014:21:21%20GMT	https://resources.blogblog.com/img/icon18_wrench_allbkg.png	C:/Users/acs/Downloads/LPBlog/resources.blogblog.com/img/icon18_wrench_allbkg.png	(from http://www.karomahaqiqah.com/)
14:25:16	191247/191247	---M--	200	added ('OK')	image/jpeg	etag:%22v5c2%22	https://4.bp.blogspot.com/-1uErt3EeMyg/Wrp2JCsTmpI/AAAAAAAABcE/AFWCKl9PWjgu1M4JDwjSLCuRwUYoJQxuwCLcBGAs/s1600/aqiqah.jpg	C:/Users/acs/Downloads/LPBlog/4.bp.blogspot.com/-1uErt3EeMyg/Wrp2JCsTmpI/AAAAAAAABcE/AFWCKl9PWjgu1M4JDwjSLCuRwUYoJQxuwCLcBGAs/s1600/aqiqah.jpg	(from http://www.karomahaqiqah.com/)
14:25:17	27380/27380	---M--	200	added ('OK')	image/png	etag:%22v5ac%22	https://1.bp.blogspot.com/-9KejOrBSCW8/WroEOmtzorI/AAAAAAAABas/qj8XABDzkvMvxDfBymhFVyYj2cvhZigNACLcBGAs/s1600/sate-aqiqah.png	C:/Users/acs/Downloads/LPBlog/1.bp.blogspot.com/-9KejOrBSCW8/WroEOmtzorI/AAAAAAAABas/qj8XABDzkvMvxDfBymhFVyYj2cvhZigNACLcBGAs/s1600/sate-aqiqah.png	(from http://www.karomahaqiqah.com/)
14:25:17	2112/2112	---M--	200	added ('OK')	image/png	etag:%22v19f%22	https://1.bp.blogspot.com/-10VvZ7Holis/WN5_el8inOI/AAAAAAAAAZ4/jBC7F4ZfkT8MInInfgABwL17PDPRu2JywCLcB/s1600/arr.png	C:/Users/acs/Downloads/LPBlog/1.bp.blogspot.com/-10VvZ7Holis/WN5_el8inOI/AAAAAAAAAZ4/jBC7F4ZfkT8MInInfgABwL17PDPRu2JywCLcB/s1600/arr.png	(from http://www.karomahaqiqah.com/)
14:25:18	110007/110007	---M--	200	added ('OK')	image/jpeg	etag:%22v5cd%22	https://2.bp.blogspot.com/-k_-0eNcM3o8/WrrRFJ8uBqI/AAAAAAAABck/Yef3MaNlTI0hZG3kubjUInMzanLx13_4QCLcBGAs/s1600/karomah-aqiqah1.jpg	C:/Users/acs/Downloads/LPBlog/2.bp.blogspot.com/-k_-0eNcM3o8/WrrRFJ8uBqI/AAAAAAAABck/Yef3MaNlTI0hZG3kubjUInMzanLx13_4QCLcBGAs/s1600/karomah-aqiqah1.jpg	(from http://www.karomahaqiqah.com/)
14:25:19	136338/136338	---M--	200	added ('OK')	image/jpeg	etag:%22v5cf%22	https://4.bp.blogspot.com/-t4PeiBVkHSE/WrrRFGOK65I/AAAAAAAABcs/aYD1iZH9LOQLFBKOKiVMA7GAlIz-6h2-wCLcBGAs/s1600/karomah-aqiqah2.jpg	C:/Users/acs/Downloads/LPBlog/4.bp.blogspot.com/-t4PeiBVkHSE/WrrRFGOK65I/AAAAAAAABcs/aYD1iZH9LOQLFBKOKiVMA7GAlIz-6h2-wCLcBGAs/s1600/karomah-aqiqah2.jpg	(from http://www.karomahaqiqah.com/)
14:25:19	116532/116532	---M--	200	added ('OK')	image/jpeg	etag:%22v5ce%22	https://1.bp.blogspot.com/-szVvdwtRoCA/WrrRFBBFBkI/AAAAAAAABco/7t67akIkLGAnGmIpK5GcdpU_NWf111_zQCLcBGAs/s1600/karomah-aqiqah3.jpg	C:/Users/acs/Downloads/LPBlog/1.bp.blogspot.com/-szVvdwtRoCA/WrrRFBBFBkI/AAAAAAAABco/7t67akIkLGAnGmIpK5GcdpU_NWf111_zQCLcBGAs/s1600/karomah-aqiqah3.jpg	(from http://www.karomahaqiqah.com/)
14:25:20	95679/95679	---M--	200	added ('OK')	image/jpeg	etag:%22v5d0%22	https://4.bp.blogspot.com/-mVUieqJrAw4/WrrRGeE4dpI/AAAAAAAABcw/dHhru9Oh_cIOG01xkMGUJxogccSgILPnQCLcBGAs/s1600/karomah-aqiqah4.jpg	C:/Users/acs/Downloads/LPBlog/4.bp.blogspot.com/-mVUieqJrAw4/WrrRGeE4dpI/AAAAAAAABcw/dHhru9Oh_cIOG01xkMGUJxogccSgILPnQCLcBGAs/s1600/karomah-aqiqah4.jpg	(from http://www.karomahaqiqah.com/)
14:25:20	3271/3271	---M--	200	added ('OK')	image/png	etag:%22v5b6%22	https://1.bp.blogspot.com/-SZgnlHImiE8/WroHlrlDgQI/AAAAAAAABbQ/M38iLRW52es_c4tSWSoq92NwPSa8e-2KQCLcBGAs/s1600/berpengalaman.png	C:/Users/acs/Downloads/LPBlog/1.bp.blogspot.com/-SZgnlHImiE8/WroHlrlDgQI/AAAAAAAABbQ/M38iLRW52es_c4tSWSoq92NwPSa8e-2KQCLcBGAs/s1600/berpengalaman.png	(from http://www.karomahaqiqah.com/)
14:25:21	6725/6725	---M--	200	added ('OK')	image/png	etag:%22v5b2%22	https://4.bp.blogspot.com/-Z1MK6o13o5w/WroGiBhITYI/AAAAAAAABbA/G8EeCnDAJNwxgltyz-GzFoqvkpePgdqjwCLcBGAs/s1600/halal.png	C:/Users/acs/Downloads/LPBlog/4.bp.blogspot.com/-Z1MK6o13o5w/WroGiBhITYI/AAAAAAAABbA/G8EeCnDAJNwxgltyz-GzFoqvkpePgdqjwCLcBGAs/s1600/halal.png	(from http://www.karomahaqiqah.com/)
14:25:21	3174/3174	---M--	200	added ('OK')	image/png	etag:%22v5b5%22	https://3.bp.blogspot.com/-aoIRNtVBKHs/WroHLH7HKmI/AAAAAAAABbM/KnIR6Hfyvu0LvFaomLKmQ7TxWMlF5Zv2ACLcBGAs/s1600/delivery.png	C:/Users/acs/Downloads/LPBlog/3.bp.blogspot.com/-aoIRNtVBKHs/WroHLH7HKmI/AAAAAAAABbM/KnIR6Hfyvu0LvFaomLKmQ7TxWMlF5Zv2ACLcBGAs/s1600/delivery.png	(from http://www.karomahaqiqah.com/)
14:25:22	38967/38967	---M--	200	added ('OK')	image/jpeg	etag:%22v5bd%22	https://2.bp.blogspot.com/-3eVhTT3g_zQ/WrojdIQQGII/AAAAAAAABbo/8Iwvo30yci0D_NYTkqxGuHPUzJV7cuKLACLcBGAs/s320/krengsengan-kambing-karomah.jpeg	C:/Users/acs/Downloads/LPBlog/2.bp.blogspot.com/-3eVhTT3g_zQ/WrojdIQQGII/AAAAAAAABbo/8Iwvo30yci0D_NYTkqxGuHPUzJV7cuKLACLcBGAs/s320/krengsengan-kambing-karomah.jpeg	(from http://www.karomahaqiqah.com/)
14:25:23	44451/44451	---M--	200	added ('OK')	image/jpeg	etag:%22v5be%22	https://4.bp.blogspot.com/-YZ0yniNlgew/WrojdMq57kI/AAAAAAAABbs/ABYW0D59DO8D59B1b8DkZHk0SpPGPS1CQCLcBGAs/s320/sate-kambing-karomah.jpeg	C:/Users/acs/Downloads/LPBlog/4.bp.blogspot.com/-YZ0yniNlgew/WrojdMq57kI/AAAAAAAABbs/ABYW0D59DO8D59B1b8DkZHk0SpPGPS1CQCLcBGAs/s320/sate-kambing-karomah.jpeg	(from http://www.karomahaqiqah.com/)
14:25:23	33936/33936	---M--	200	added ('OK')	image/jpeg	etag:%22v5bc%22	https://1.bp.blogspot.com/-my1QSG6_JwM/WrojdNY862I/AAAAAAAABbk/Qzq0ZDUywykWxDtdQZsJ47-JSsoP-kfBQCLcBGAs/s320/sate-komoh-khas-karomah.jpeg	C:/Users/acs/Downloads/LPBlog/1.bp.blogspot.com/-my1QSG6_JwM/WrojdNY862I/AAAAAAAABbk/Qzq0ZDUywykWxDtdQZsJ47-JSsoP-kfBQCLcBGAs/s320/sate-komoh-khas-karomah.jpeg	(from http://www.karomahaqiqah.com/)
14:25:24	36842/36842	---M--	200	added ('OK')	image/jpeg	etag:%22v5c6%22	https://4.bp.blogspot.com/-ERza_aJWKaQ/WrrI_b1D2yI/AAAAAAAABcU/kdFoHH9xAHkO4LBMU6as-nXmTodsG3PLQCLcBGAs/s320/gulekambing-karomah.jpeg	C:/Users/acs/Downloads/LPBlog/4.bp.blogspot.com/-ERza_aJWKaQ/WrrI_b1D2yI/AAAAAAAABcU/kdFoHH9xAHkO4LBMU6as-nXmTodsG3PLQCLcBGAs/s320/gulekambing-karomah.jpeg	(from http://www.karomahaqiqah.com/)
14:25:24	100905/100905	---M--	200	added ('OK')	image/png	etag:%22v386%22	https://1.bp.blogspot.com/-eag8__9mYVU/WsG7LEOni_I/AAAAAAAAA4A/2weOWpeRDT4AhE3UR2XSHdpzcJiY3xqEwCLcBGAs/s1600/paket1.png	C:/Users/acs/Downloads/LPBlog/1.bp.blogspot.com/-eag8__9mYVU/WsG7LEOni_I/AAAAAAAAA4A/2weOWpeRDT4AhE3UR2XSHdpzcJiY3xqEwCLcBGAs/s1600/paket1.png	(from http://www.karomahaqiqah.com/)
14:25:25	98375/98375	---M--	200	added ('OK')	image/png	etag:%22v387%22	https://2.bp.blogspot.com/-PLe1oB-sUWQ/WsG7LbcAp-I/AAAAAAAAA4I/WeslNpGpL5s5xMZydH1f4qhFhNJnhNsRACLcBGAs/s1600/paket2.png	C:/Users/acs/Downloads/LPBlog/2.bp.blogspot.com/-PLe1oB-sUWQ/WsG7LbcAp-I/AAAAAAAAA4I/WeslNpGpL5s5xMZydH1f4qhFhNJnhNsRACLcBGAs/s1600/paket2.png	(from http://www.karomahaqiqah.com/)
14:25:26	99902/99902	---M--	200	added ('OK')	image/png	etag:%22v388%22	https://2.bp.blogspot.com/-VD_5hlrAM68/WsG7Le0jkmI/AAAAAAAAA4E/RHoCVRaCcdoyjuf_z2GLq77JiyW5z0v0QCLcBGAs/s1600/paket3.png	C:/Users/acs/Downloads/LPBlog/2.bp.blogspot.com/-VD_5hlrAM68/WsG7Le0jkmI/AAAAAAAAA4E/RHoCVRaCcdoyjuf_z2GLq77JiyW5z0v0QCLcBGAs/s1600/paket3.png	(from http://www.karomahaqiqah.com/)
14:25:26	97597/97597	---M--	200	added ('OK')	image/png	etag:%22v388%22	https://2.bp.blogspot.com/-lAh_AL7IuUs/WsG7MZrNxII/AAAAAAAAA4M/22pMZZiXi54qlnjtoRiFHo_K1bs9gUxHQCLcBGAs/s1600/paket4.png	C:/Users/acs/Downloads/LPBlog/2.bp.blogspot.com/-lAh_AL7IuUs/WsG7MZrNxII/AAAAAAAAA4M/22pMZZiXi54qlnjtoRiFHo_K1bs9gUxHQCLcBGAs/s1600/paket4.png	(from http://www.karomahaqiqah.com/)
14:25:27	99620/99620	---M--	200	added ('OK')	image/png	etag:%22v389%22	https://3.bp.blogspot.com/-ido4HVnOi5Y/WsG7Mrd9oEI/AAAAAAAAA4Q/iWxh5o9j_u8hpOpRBupG4j5dxmb-hK9dwCLcBGAs/s1600/paket5.png	C:/Users/acs/Downloads/LPBlog/3.bp.blogspot.com/-ido4HVnOi5Y/WsG7Mrd9oEI/AAAAAAAAA4Q/iWxh5o9j_u8hpOpRBupG4j5dxmb-hK9dwCLcBGAs/s1600/paket5.png	(from http://www.karomahaqiqah.com/)
14:25:28	100701/100701	---M--	200	added ('OK')	image/png	etag:%22v388%22	https://2.bp.blogspot.com/-egqvrwnnnRI/WsG7MnGE6uI/AAAAAAAAA4U/rJaGblW4oqQTkunPZS67dNM6-8R9SX-qQCLcBGAs/s1600/paket6.png	C:/Users/acs/Downloads/LPBlog/2.bp.blogspot.com/-egqvrwnnnRI/WsG7MnGE6uI/AAAAAAAAA4U/rJaGblW4oqQTkunPZS67dNM6-8R9SX-qQCLcBGAs/s1600/paket6.png	(from http://www.karomahaqiqah.com/)
14:25:28	100251/100251	---M--	200	added ('OK')	image/png	etag:%22v390%22	https://3.bp.blogspot.com/-h53QGL4LTk0/WsG_fFlldHI/AAAAAAAAA44/sWP2odNe2-oqxdPahU_YP9CK2J2voVpfwCLcBGAs/s1600/paket7.png	C:/Users/acs/Downloads/LPBlog/3.bp.blogspot.com/-h53QGL4LTk0/WsG_fFlldHI/AAAAAAAAA44/sWP2odNe2-oqxdPahU_YP9CK2J2voVpfwCLcBGAs/s1600/paket7.png	(from http://www.karomahaqiqah.com/)
